cx,cy,cz,a,b,theta,Rt,Rp,A1,A2,E,E_i01,E_ip1,E_ip2,E_i02,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.7,-0.9,13.1,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.367603196,-1.11948537,-0.143205312,-0.244066249,-1.724186637,-0.071329062,-0.302512531,-0.099262042,-0.148572405,-1.866394208,-1.45098196,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.7_cy=-0.9_cz=13.1.log
1.6,-0.9,13.1,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.364180756,-0.900053908,-0.143842862,-0.254363689,-1.642127154,-0.074013549,-0.308630753,-0.102867714,-0.155096627,-1.942914032,-1.501786425,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.6_cy=-0.9_cz=13.1.log
1.6,-0.8,13.1,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.360451464,-1.014401291,-0.138442511,-0.278438737,-1.579186646,-0.070244725,-0.327289136,-0.10164658,-0.158964598,-1.918187001,-1.477651763,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.6_cy=-0.8_cz=13.1.log
1.7,-0.8,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.353071947,-1.392823706,-0.129019821,-0.249495466,-1.656665306,-0.061169675,-0.307684468,-0.093245476,-0.145648209,-1.812370617,-1.403378424,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.7_cy=-0.8_cz=13.2.log
1.7,-1,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.344353323,-1.200469301,-0.138934479,-0.208747476,-1.684123888,-0.067851401,-0.274406358,-0.095357047,-0.13880835,-1.872401989,-1.450519485,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.7_cy=-1.0_cz=13.2.log
1.6,-0.7,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.337328348,-1.317087014,-0.124648586,-0.284580805,-1.553513957,-0.060327556,-0.333086073,-0.095315004,-0.155691506,-1.865048826,-1.384651016,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.6_cy=-0.7_cz=13.2.log
1.7,-1,13.1,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.331407164,-0.975612387,-0.148691004,-0.223072275,-1.752506163,-0.075376501,-0.285627492,-0.100369597,-0.144978655,-1.897047444,-1.458568556,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.7_cy=-1.0_cz=13.1.log
1.7,-0.8,13.1,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.325159674,-1.234703736,-0.137863947,-0.267238939,-1.687639199,-0.067655618,-0.320530853,-0.098111188,-0.152175568,-1.784052346,-1.433004426,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.7_cy=-0.8_cz=13.1.log
1.6,-1,13.2,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.315833621,-1.066394259,-0.139450292,-0.217655609,-1.661773237,-0.070342616,-0.279449028,-0.098740581,-0.144674941,-1.883131155,-1.471754424,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.6_cy=-1.0_cz=13.2.log
1.6,-1,13.1,7.45,5.75,25,1.7,1.5,-0.2,-0.6,-5.303466654,-0.755107883,-0.149417661,-0.232543911,-1.695985082,-0.078200296,-0.291093104,-0.104048061,-0.15123744,-1.93008459,-1.516922594,3,Done,tetracene_a=7.45_b=5.75_theta=25_Rt=1.7_Rp=1.5_A1=-0.2_A2=-0.6_cx=1.6_cy=-1.0_cz=13.1.log
