theta,A2,b,z,E2,machine_type,status,file_name
60.0,-6.0,8.3,0.2,-0.2659073623362928,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=0.2_2.log
60.0,-6.0,8.3,0.4,-0.2662587680388242,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=0.4_2.log
60.0,-6.0,8.3,0.6,-0.2663152439054101,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=0.6_2.log
60.0,-6.0,8.3,0.8,-0.2658822620287537,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=0.8_2.log
60.0,-6.0,8.3,1.0,-0.264922171831131,3,Done,BTBT_theta=60_A2=-6_b=8.3_z=1.0_2.log
60.0,-4.0,8.3,-1.0,-0.2603915494401008,3,Done,BTBT_theta=60_A2=-4_b=8.3_z=-1.0_2.log
60.0,-4.0,8.3,-0.8,-0.2611069111153483,3,Done,BTBT_theta=60_A2=-4_b=8.3_z=-0.8_2.log
60.0,-4.0,8.3,-0.6,-0.2620858263690024,3,Done,BTBT_theta=60_A2=-4_b=8.3_z=-0.6_2.log
60.0,-4.0,8.3,-0.4,-0.2631965193431824,3,Done,BTBT_theta=60_A2=-4_b=8.3_z=-0.4_2.log
60.0,-4.0,8.3,-0.2,-0.2644515391439199,3,Done,BTBT_theta=60_A2=-4_b=8.3_z=-0.2_2.log
60.0,-4.0,8.2,0.0,-0.2877572604920715,3,Done,BTBT_theta=60_A2=-4_b=8.2_z=0.0_2.log
60.0,-4.0,8.2,0.2,-0.2887299014255404,3,Done,BTBT_theta=60_A2=-4_b=8.2_z=0.2_2.log
60.0,-4.0,8.2,0.4,-0.2894013368058949,3,Done,BTBT_theta=60_A2=-4_b=8.2_z=0.4_2.log
60.0,-4.0,8.2,0.6,-0.2896084152162075,3,Done,BTBT_theta=60_A2=-4_b=8.2_z=0.6_2.log
60.0,-4.0,8.2,0.8,-0.2892570095136761,3,Done,BTBT_theta=60_A2=-4_b=8.2_z=0.8_2.log
60.0,-4.0,8.2,1.0,-0.2882780940271914,3,Done,BTBT_theta=60_A2=-4_b=8.2_z=1.0_2.log
60.0,-2.0,8.2,-1.0,-0.2796310062985867,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=-1.0_2.log
60.0,-2.0,8.2,-0.8,-0.2812311567831784,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=-0.8_2.log
60.0,-2.0,8.2,-0.6,-0.2829819095786661,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=-0.6_2.log
60.0,-2.0,8.2,-0.4,-0.2847891382407397,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=-0.4_2.log
60.0,-2.0,8.2,-0.2,-0.2866528432350606,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=-0.2_2.log
60.0,-2.0,8.2,0.0,-0.2882090678904205,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=0.0_2.log
60.0,-2.0,8.2,0.2,-0.28948291298002,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=0.2_2.log
60.0,-2.0,8.2,0.4,-0.2904492786619812,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=0.4_2.log
60.0,-2.0,8.2,0.6,-0.2909261861350387,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=0.6_2.log
60.0,-2.0,8.2,0.8,-0.2908508849795908,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=0.8_2.log
60.0,-2.0,8.2,1.0,-0.2901543488260358,3,Done,BTBT_theta=60_A2=-2_b=8.2_z=1.0_2.log
60.0,0.0,8.2,-1.0,-0.2783069601282477,3,Done,BTBT_theta=60_A2=0_b=8.2_z=-1.0_2.log
60.0,0.0,8.2,-0.8,-0.2804028436075896,3,Done,BTBT_theta=60_A2=0_b=8.2_z=-0.8_2.log
60.0,0.0,8.2,-0.6,-0.2825677529908716,3,Done,BTBT_theta=60_A2=0_b=8.2_z=-0.6_2.log
60.0,0.0,8.2,-0.4,-0.2847828632220626,3,Done,BTBT_theta=60_A2=0_b=8.2_z=-0.4_2.log
60.0,0.0,8.2,-0.2,-0.2869414975866675,3,Done,BTBT_theta=60_A2=0_b=8.2_z=-0.2_2.log
60.0,0.0,8.2,0.0,-0.288761276518926,3,Done,BTBT_theta=60_A2=0_b=8.2_z=0.0_2.log
60.0,0.0,8.1,0.2,-0.3148343171924352,3,Done,BTBT_theta=60_A2=0_b=8.1_z=0.2_2.log
60.0,0.0,8.1,0.4,-0.3161269875708967,3,Done,BTBT_theta=60_A2=0_b=8.1_z=0.4_2.log
60.0,0.0,8.1,0.6,-0.3168109736870974,3,Done,BTBT_theta=60_A2=0_b=8.1_z=0.6_2.log
60.0,0.0,8.1,0.8,-0.3168109736870974,3,Done,BTBT_theta=60_A2=0_b=8.1_z=0.8_2.log
60.0,0.0,8.1,1.0,-0.3160893369931727,3,Done,BTBT_theta=60_A2=0_b=8.1_z=1.0_2.log
60.0,2.0,8.2,-1.0,-0.277139791753143,3,Done,BTBT_theta=60_A2=2_b=8.2_z=-1.0_2.log
60.0,2.0,8.2,-0.8,-0.2797000322025269,3,Done,BTBT_theta=60_A2=2_b=8.2_z=-0.8_2.log
60.0,2.0,8.2,-0.6,-0.2822853734251112,3,Done,BTBT_theta=60_A2=2_b=8.2_z=-0.6_2.log
60.0,2.0,8.2,-0.4,-0.2849020899739116,3,Done,BTBT_theta=60_A2=2_b=8.2_z=-0.4_2.log
60.0,2.0,8.2,-0.2,-0.2873117285780608,3,Done,BTBT_theta=60_A2=2_b=8.2_z=-0.2_2.log
60.0,2.0,8.2,0.0,-0.2894327121321112,3,Done,BTBT_theta=60_A2=2_b=8.2_z=0.0_2.log
60.0,2.0,8.2,0.2,-0.291315242415294,3,Done,BTBT_theta=60_A2=2_b=8.2_z=0.2_2.log
60.0,2.0,8.2,0.4,-0.2928024413995445,3,Done,BTBT_theta=60_A2=2_b=8.2_z=0.4_2.log
60.0,2.0,8.2,0.6,-0.2937939069233835,3,Done,BTBT_theta=60_A2=2_b=8.2_z=0.6_2.log
60.0,2.0,8.2,0.8,-0.2942206137813627,3,Done,BTBT_theta=60_A2=2_b=8.2_z=0.8_2.log
60.0,2.0,8.2,1.0,-0.294057461200282,3,Done,BTBT_theta=60_A2=2_b=8.2_z=1.0_2.log
60.0,4.0,8.3,-1.0,-0.2557166002225131,3,Done,BTBT_theta=60_A2=4_b=8.3_z=-1.0_2.log
60.0,4.0,8.3,-0.8,-0.2582078147679567,3,Done,BTBT_theta=60_A2=4_b=8.3_z=-0.8_2.log
60.0,4.0,8.3,-0.6,-0.260736680123955,3,Done,BTBT_theta=60_A2=4_b=8.3_z=-0.6_2.log
60.0,4.0,8.3,-0.4,-0.2633220215793699,3,Done,BTBT_theta=60_A2=4_b=8.3_z=-0.4_2.log
60.0,4.0,8.3,-0.2,-0.2656563583295792,3,Done,BTBT_theta=60_A2=4_b=8.3_z=-0.2_2.log
60.0,4.0,8.3,0.0,-0.2677961674053222,3,Done,BTBT_theta=60_A2=4_b=8.3_z=0.0_2.log
60.0,4.0,8.2,0.2,-0.2923631842713803,3,Done,BTBT_theta=60_A2=4_b=8.2_z=0.2_2.log
60.0,4.0,8.2,0.4,-0.2940951115451753,3,Done,BTBT_theta=60_A2=4_b=8.2_z=0.4_2.log
60.0,4.0,8.2,0.6,-0.2953250312712043,3,Done,BTBT_theta=60_A2=4_b=8.2_z=0.6_2.log
60.0,4.0,8.2,0.8,-0.2959964671172201,3,Done,BTBT_theta=60_A2=4_b=8.2_z=0.8_2.log
60.0,4.0,8.3,1.0,-0.2737951630260795,3,Done,BTBT_theta=60_A2=4_b=8.3_z=1.0_2.log
60.0,6.0,8.3,-1.0,-0.2548945618327707,3,Done,BTBT_theta=60_A2=6_b=8.3_z=-1.0_2.log
60.0,6.0,8.3,-0.8,-0.2577936584129929,3,Done,BTBT_theta=60_A2=6_b=8.3_z=-0.8_2.log
60.0,6.0,8.3,-0.6,-0.2607304051052779,3,Done,BTBT_theta=60_A2=6_b=8.3_z=-0.6_2.log
60.0,6.0,8.3,-0.4,-0.263598125660792,3,Done,BTBT_theta=60_A2=6_b=8.3_z=-0.4_2.log
60.0,6.0,8.3,-0.2,-0.2661646415945142,3,Done,BTBT_theta=60_A2=6_b=8.3_z=-0.2_2.log
60.0,6.0,8.3,0.0,-0.2686119305435568,3,Done,BTBT_theta=60_A2=6_b=8.3_z=0.0_2.log
60.0,6.0,8.3,0.2,-0.2708584163337946,3,Done,BTBT_theta=60_A2=6_b=8.3_z=0.2_2.log
60.0,6.0,8.3,0.4,-0.272734671132639,3,Done,BTBT_theta=60_A2=6_b=8.3_z=0.4_2.log
60.0,6.0,8.3,0.6,-0.2741967695765197,3,Done,BTBT_theta=60_A2=6_b=8.3_z=0.6_2.log
