a,b,theta,E,E_p1,E_p2,E_t1,machine_type,status,file_name
4.0,16.2,20,-21.32911510067061,-0.0037525098305195,-8.874899030197412,-0.8929530051536858,3,Done,DBTP_theta=20_a=4.0_b=16.2.log
7.7,7.5,25,-23.2225637761876,-0.9483056624885648,-0.2607680556830019,-5.201104084961116,3,Done,DBTP_theta=25_a=7.7_b=7.5.log
7.7,7.7,25,-23.864644556306303,-1.1413340133149177,-0.2607680556830019,-5.265110104577616,3,Done,DBTP_theta=25_a=7.7_b=7.7.log
7.7,7.9,25,-23.96215961221605,-1.1730232685804367,-0.2607680556830019,-5.273644240922295,3,Done,DBTP_theta=25_a=7.7_b=7.9.log
3.8,15.8,25,-22.254290745127943,-0.0049134034197777,-9.344973046565428,-0.8886294612893835,3,Done,DBTP_theta=25_a=3.8_b=15.8.log
4.0,15.8,25,-22.489318339619786,-0.0049134034197777,-9.383483335142955,-0.92813121562358,3,Done,DBTP_theta=25_a=4.0_b=15.8.log
4.2,15.8,25,-20.92606542771682,-0.0049134034197777,-8.545631983317435,-0.9562436635605992,3,Done,DBTP_theta=25_a=4.2_b=15.8.log
8.2,7.1,30,-23.6210828255862,-1.6820280046667904,-0.2016440634615719,-4.963434672332369,3,Done,DBTP_theta=30_a=8.2_b=7.1.log
8.2,7.3,30,-23.989493946544822,-1.635485588107258,-0.2016440634615719,-5.078808660851792,3,Done,DBTP_theta=30_a=8.2_b=7.3.log
8.2,7.5,30,-23.949145053513348,-1.5155747020617127,-0.2016440634615719,-5.128676880616695,3,Done,DBTP_theta=30_a=8.2_b=7.5.log
8.4,7.5,30,-23.69388653477654,-1.5155747020617127,-0.1666980313602835,-5.0823352669831365,3,Done,DBTP_theta=30_a=8.4_b=7.5.log
8.6,7.5,30,-23.07698145508766,-1.5155747020617127,-0.1379392482340335,-4.942488388624042,3,Done,DBTP_theta=30_a=8.6_b=7.5.log
