a,b,theta,A1,A2,phi_r,E,E_p1,E_p2,E_t1,E_t3,machine_type,status,file_name
5.9,8.3,61.5,5,-11,79.0,-52.56759201711975,-0.4268197518540546,-7.099233983433805,-9.291841774829663,-9.465900498442352,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.3,61.5,5,-11,80.1,-52.741274234838784,-0.4260353643912822,-7.107529665576294,-9.372144229477271,-9.464927857974544,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
5.9,8.4,61.5,5,-11,79.0,-52.33558901958168,-0.3927773342002183,-7.099233983433805,-9.258351565920748,-9.417431626236066,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
5.9,8.4,61.5,5,-11,80.0,-52.46804383094423,-0.3921058987034485,-7.106751553248614,-9.313202215125784,-9.421962248394266,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.4_phi_r=80_cx=0_cy=0_cz=0.log
5.9,8.4,61.5,5,-11,80.1,-52.478962504537776,-0.3920368724502623,-7.107529665576294,-9.31763871095609,-9.422276003286242,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=5.9_b=8.4_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.2,61.5,5,-11,79.0,-52.34903028374538,-0.4644264259841293,-6.834041982190684,-9.35347580711823,-9.522570926579649,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.2_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.2,61.5,5,-11,80.0,-52.5154082858935,-0.4636671389453113,-6.841007343376987,-9.431914557004347,-9.521115103620104,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.2_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.2,61.5,5,-11,80.1,-52.529100553132594,-0.4635730122681707,-6.841735254973173,-9.43845321109984,-9.520788798225112,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.2_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-11,79.0,-52.17782045574859,-0.4268197518540546,-6.834041982190684,-9.336871892330237,-9.49117660149932,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.3_phi_r=79_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-11,80.0,-52.316010708222166,-0.4261169404489919,-6.841007343376987,-9.395638203946874,-9.49524286633823,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.3_phi_r=80_cx=0_cy=0_cz=0.log
6.0,8.3,61.5,5,-11,80.1,-52.327343539334834,-0.4260353643912822,-6.841735254973173,-9.400407280190848,-9.495493870112114,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.3_phi_r=80.1_cx=0_cy=0_cz=0.log
6.0,8.4,61.5,5,-11,79.0,-51.822800397640094,-0.3927773342002183,-6.834041982190684,-9.270606836420484,-9.41397404600866,3,Done,mono-C4-BTBT_theta=61.5_A1=5_A2=-11_a=6.0_b=8.4_phi_r=79_cx=0_cy=0_cz=0.log
